Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wide Grip Cable Rows,85lbs,1,10,,,Abductor Machine,143lbs,1,10,1430,,Reverse Fly Machine,,1,,,,Machine Ab Crunches,,1,,,,,,,,
,85lbs,2,10,,,,143lbs,2,10,1430,,,,2,,,,,,2,,,,,,,,
,85lbs,3,10,,,,143lbs,3,10,1430,,,,3,,,,,,3,,,,,,,,
Lateral Dumbell Raises,30lbs,1,10,,,Calf Raises,Body Weight,1,10,1177.268,,Over Head Tricep Extensions,,1,,,,Vertical Leg Raises,,1,,,,,,,,
,30lbs,2,10,,,,Body Weight,2,10,1177.268,,,,2,,,,,,2,,,,,,,,
,30lbs,3,10,,,,Body Weight,3,10,1177.268,,,,3,,,,,,3,,,,,,,,
Tricep Pushdown,70lbs,1,10,,,,,,,21111.804,,Preacher Curls Dumbbell,,1,,,,,,,,,,,,,,
,70lbs,2,10,,,,,,,,,,,2,,,,,,,,,,,,,,
,70lbs,3,10,,,,,,,,,,,3,,,,,,,,,,,,,,
Hammer Curls,30lbs,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,3,10,,,,,,,,,,,,,,,,,,,,,,,,,
